artist,region,subregion,genre,gender
2pac,West,LA,rap,male
absoul,West,LA,rap,male
asaprocky,East,NY,rap,male
bigpun,East,NY,rap,male
camron,East,NY,rap,male
bigsean,Midwest,Detroit,rap,male
camron,East,NY,rap,male
cardi-b,East,NY,rap,male
chancetherapper,Midwest,Chicago,rap,male
common,Midwest,Chicago,rap,male
domkennedy,West,LA,rap,male
drake,Canada,Toronto,rap,male
earlsweatshirt,West,LA,rap,male
fatjoe,East,NY,rap,male
future,South,Atlanta,rap,male
game,West,LA,rap,male
goldlink,East,DC,rap,male
guccimane,South,Atlanta,rap,male
isaiahrashad,South,Tennessee,rap,male
jadakiss,East,NY,rap,male
jayz,East,NY,rap,male
jcole,South,NC,rap,male
jid,South,Atlanta,rap,male
joeybada,East,NY,rap,male
kendricklamar,West,LA,rap,male
knowles,South,Houston,rnb,female
lilboosie,South,Louisiana,rap,male
liluzivert,idk,idk,rap,male
lilwayne,South,Louisiana,rap,male
lilyachty,South,Atlanta,rap,male
logic,idk,idk,rap,male
ludacris,South,Atlanta,rap,male
macmiller,East,Pittsburgh,rap,male
nas,East,NY,rap,male
nickiminaj,East,NY,rap,female
notorious,East,NY,rap,male
outkast,South,Atlanta,rap,male
pushat,South,VA,rap,male
rapsody,South,NC,rap,female
rickross,idk,Miami,rap,male
schoolboyq,West,LA,rap,male
ti,South,Atlanta,rap,male
tylerthecreator,West,LA,rap,male
vicmensa,Midwest,Chicago,rap,male
vincestaples,West,LA,rap,male
wale,East,DC,rap,male
west,Midwest,Chicago,,rap,male
yg,West,LA,rap,male
youngjeezy,South,Atlanta,rap,male
